seed,radius,trial,success,progress,start_x,end_x
0,0.5,7,0,0.01074216843981464,-0.09985916768695605,-0.0891169992471414
0,0.5,8,0,0.007613585378234575,-0.09985916768695605,-0.09224558230872147
0,0.5,9,0,0.0041943493918358,-0.09985916768695605,-0.09566481829512025
0,0.75,0,0,0.007211602504449646,-0.09985916768695605,-0.0926475651825064
0,0.75,1,0,0.005787627611190546,-0.09985916768695605,-0.0940715400757655
0,0.75,2,0,0.013537270077293023,-0.09985916768695605,-0.08632189760966302
0,0.75,3,0,0.006790775308222072,-0.09985916768695605,-0.09306839237873397
0,0.75,4,0,0.0022890299043063084,-0.09985916768695605,-0.09757013778264974
0,0.75,5,0,0.01458029565506444,-0.09985916768695605,-0.0852788720318916
0,0.75,6,0,-0.0024228126895287777,-0.09985916768695605,-0.10228198037648482
0,0.75,7,0,0.012411525869923432,-0.09985916768695605,-0.08744764181703261
0,0.75,8,0,0.007667005698674359,-0.09985916768695605,-0.09219216198828169
0,0.75,9,0,0.0025377650430259413,-0.09985916768695605,-0.0973214026439301
0,1.0,0,0,0.007217270878679849,-0.09985916768695605,-0.0926418968082762
0,1.0,1,0,0.005170230580540738,-0.09985916768695605,-0.09468893710641531
0,1.0,2,0,0.015518877212418236,-0.09985916768695605,-0.08434029047453781
0,1.0,3,0,0.011153512407697366,-0.09985916768695605,-0.08870565527925868
0,1.0,4,0,0.000539376270608849,-0.09985916768695605,-0.0993197914163472
0,1.0,5,0,0.01693119748625338,-0.09985916768695605,-0.08292797020070267
0,1.0,6,0,-0.005638273737459898,-0.09985916768695605,-0.10549744142441594
0,1.0,7,0,0.014112542170738276,-0.09985916768695605,-0.08574662551621777
0,1.0,8,0,0.00773107013986514,-0.09985916768695605,-0.0921280975470909
0,1.0,9,0,0.004703501697518611,-0.09985916768695605,-0.09515566598943744
0,1.25,0,0,0.007276085575432745,-0.09985916768695605,-0.0925830821115233
0,1.25,1,0,0.004526293708032272,-0.09985916768695605,-0.09533287397892377
0,1.25,2,0,0.017484000355020526,-0.09985916768695605,-0.08237516733193552
0,1.25,3,0,0.01678561732077427,-0.09985916768695605,-0.08307355036618178
0,1.25,4,0,-0.0012337086904411626,-0.09985916768695605,-0.10109287637739721
0,1.25,5,0,0.019276773333034583,-0.09985916768695605,-0.08058239435392146
0,1.25,6,0,-0.008761949063359281,-0.09985916768695605,-0.10862111675031533
0,1.25,7,0,0.01583992649131688,-0.09985916768695605,-0.08401924119563917
0,1.25,8,0,0.007814320761555402,-0.09985916768695605,-0.09204484692540064
0,1.25,9,0,0.008675515025716382,-0.09985916768695605,-0.09118365266123966
0,1.5,0,0,0.00734290140805012,-0.09985916768695605,-0.09251626627890593
0,1.5,1,0,0.003870600526035106,-0.09985916768695605,-0.09598856716092094
0,1.5,2,0,0.0204280069902045,-0.09985916768695605,-0.07943116069675155
0,1.5,3,0,0.022931096025001707,-0.09985916768695605,-0.07692807166195434
0,1.5,4,0,-0.003028718973262609,-0.09985916768695605,-0.10288788666021866
0,1.5,5,0,0.021616486324464404,-0.09985916768695605,-0.07824268136249164
0,1.5,6,0,-0.011763452718283454,-0.09985916768695605,-0.1116226204052395
0,1.5,7,0,0.01756498132339296,-0.09985916768695605,-0.08229418636356309
0,1.5,8,0,0.007907135847019034,-0.09985916768695605,-0.09195203183993701
0,1.5,9,0,0.013240206797009005,-0.09985916768695605,-0.08661896088994704
0,2.0,0,0,0.007444386318372201,-0.09985916768695605,-0.09241478136858385
0,2.0,1,0,0.0025431601162762274,-0.09985916768695605,-0.09731600757067982
0,2.0,2,0,0.029288157979129925,-0.09985916768695605,-0.07057100970782612
0,2.0,3,0,0.03587838772889208,-0.09985916768695605,-0.06398077995806396
0,2.0,4,0,-0.006685297772707863,-0.09985916768695605,-0.10654446545966391
0,2.0,5,0,0.02627321630459649,-0.09985916768695605,-0.07358595138235956
0,2.0,6,0,-0.01739118407561728,-0.09985916768695605,-0.11725035176257333
0,2.0,7,0,0.020958422809494545,-0.09985916768695605,-0.0789007448774615
0,2.0,8,0,0.007995633600647742,-0.09985916768695605,-0.0918635340863083
0,2.0,9,0,0.023004798914805377,-0.09985916768695605,-0.07685436877215067
1,0.0,0,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,1,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
