seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
8,1,0.5,1,0,128,192.63377701590233,-0.176177978515625,0.2492287969589233
8,2,0.5,1,0,143,159.1908985519981,-0.176177978515625,0.2492287969589233
8,0,1.0,0,0,500,-61.144598803901204,-0.176177978515625,0.2492287969589233
8,1,1.0,1,0,133,213.98288768851057,-0.176177978515625,0.2492287969589233
8,2,1.0,1,0,189,185.21325239109348,-0.176177978515625,0.2492287969589233
8,0,1.5,0,1,74,-252.96543685620603,-0.176177978515625,0.2492287969589233
8,1,1.5,1,0,134,246.02021340047656,-0.176177978515625,0.2492287969589233
8,2,1.5,1,0,307,210.39549831074257,-0.176177978515625,0.2492287969589233
8,0,2.0,0,1,54,-342.8209289306558,-0.176177978515625,0.2492287969589233
8,1,2.0,1,0,133,280.3108056752272,-0.176177978515625,0.2492287969589233
8,2,2.0,1,0,397,245.4705080252037,-0.176177978515625,0.2492287969589233
8,0,2.5,0,1,43,-598.0250278761339,-0.176177978515625,0.2492287969589233
8,1,2.5,1,0,132,318.3304642505374,-0.176177978515625,0.2492287969589233
8,2,2.5,0,1,55,-133.97772529483743,-0.176177978515625,0.2492287969589233
8,0,3.0,0,1,29,-432.19643761293094,-0.176177978515625,0.2492287969589233
8,1,3.0,1,0,139,340.19039691572993,-0.176177978515625,0.2492287969589233
8,2,3.0,0,1,40,-132.83449767135673,-0.176177978515625,0.2492287969589233
9,0,0.0,1,0,165,245.95459468855697,-0.4953751087188721,0.5022032356262206
9,1,0.0,1,0,165,245.95459468855697,-0.4953751087188721,0.5022032356262206
9,2,0.0,1,0,165,245.95459468855697,-0.4953751087188721,0.5022032356262206
9,0,0.5,1,0,150,263.9929388866097,-0.4953751087188721,0.5022032356262206
9,1,0.5,1,0,171,249.78410094535337,-0.4953751087188721,0.5022032356262206
9,2,0.5,1,0,177,245.02198192516715,-0.4953751087188721,0.5022032356262206
9,0,1.0,1,0,137,293.84851679471006,-0.4953751087188721,0.5022032356262206
9,1,1.0,1,0,191,260.74329878559473,-0.4953751087188721,0.5022032356262206
9,2,1.0,1,0,75,200.76054368241915,-0.4953751087188721,0.5022032356262206
9,0,1.5,1,0,140,314.95291878326793,-0.4953751087188721,0.5022032356262206
9,1,1.5,0,1,25,-53.695324042412636,-0.4953751087188721,0.5022032356262206
9,2,1.5,0,1,13,-54.820654993303805,-0.4953751087188721,0.5022032356262206
9,0,2.0,1,0,176,321.37177374640044,-0.4953751087188721,0.5022032356262206
9,1,2.0,1,0,454,276.6268451961495,-0.4953751087188721,0.5022032356262206
9,2,2.0,0,1,5,-73.49162521646635,-0.4953751087188721,0.5022032356262206
9,0,2.5,1,0,236,348.89199954151024,-0.4953751087188721,0.5022032356262206
9,1,2.5,0,1,1,-100.0,-0.4953751087188721,0.5022032356262206
9,2,2.5,0,1,1,-100.0,-0.4953751087188721,0.5022032356262206
9,0,3.0,1,0,243,369.27613119601904,-0.4953751087188721,0.5022032356262206
9,1,3.0,0,1,1,-100.0,-0.4953751087188721,0.5022032356262206
