seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
9,2,0.2,1,0,165,221.18976258169235,-0.4693311214447021,0.43121489048004147
9,0,0.4,1,0,145,257.54919330939714,-0.4693311214447021,0.43121489048004147
9,1,0.4,1,0,173,256.92164494282065,-0.4693311214447021,0.43121489048004147
9,2,0.4,1,0,165,211.23211641485327,-0.4693311214447021,0.43121489048004147
9,0,0.6,1,0,144,270.878889607347,-0.4693311214447021,0.43121489048004147
9,1,0.6,0,1,228,-150.8229576460769,-0.4693311214447021,0.43121489048004147
9,2,0.6,1,0,194,204.37901107851934,-0.4693311214447021,0.43121489048004147
9,0,0.8,1,0,139,271.67774347012335,-0.4693311214447021,0.43121489048004147
9,1,0.8,0,1,37,-43.465357327748656,-0.4693311214447021,0.43121489048004147
9,2,0.8,0,0,260,93.61374646055594,-0.4693311214447021,0.43121489048004147
9,0,1.0,0,0,260,9.99423809905001,-0.4693311214447021,0.43121489048004147
9,1,1.0,0,1,42,-36.37731325785573,-0.4693311214447021,0.43121489048004147
9,2,1.0,0,0,260,59.431650007550836,-0.4693311214447021,0.43121489048004147
10,0,0.0,1,0,116,178.3356363705458,0.04086713790893555,0.3076043939590454
10,1,0.0,1,0,116,178.3356363705458,0.04086713790893555,0.3076043939590454
10,2,0.0,1,0,116,178.3356363705458,0.04086713790893555,0.3076043939590454
10,0,0.2,1,0,98,181.11246412964462,0.04086713790893555,0.3076043939590454
10,1,0.2,1,0,102,175.9584892315019,0.04086713790893555,0.3076043939590454
10,2,0.2,1,0,104,187.2360054645958,0.04086713790893555,0.3076043939590454
10,0,0.4,1,0,90,183.45759155561495,0.04086713790893555,0.3076043939590454
10,1,0.4,1,0,107,167.8047139924777,0.04086713790893555,0.3076043939590454
10,2,0.4,1,0,117,201.01596891273562,0.04086713790893555,0.3076043939590454
10,0,0.6,1,0,89,183.97407067454526,0.04086713790893555,0.3076043939590454
10,1,0.6,1,0,97,169.71468513061052,0.04086713790893555,0.3076043939590454
10,2,0.6,1,0,114,208.11271226703118,0.04086713790893555,0.3076043939590454
10,0,0.8,1,0,68,186.9124617136247,0.04086713790893555,0.3076043939590454
10,1,0.8,1,0,105,172.79179260786964,0.04086713790893555,0.3076043939590454
10,2,0.8,1,0,123,215.20380407976424,0.04086713790893555,0.3076043939590454
10,0,1.0,1,0,66,181.29725428483124,0.04086713790893555,0.3076043939590454
10,1,1.0,1,0,101,183.85569974667456,0.04086713790893555,0.3076043939590454
10,2,1.0,1,0,144,208.6277697677738,0.04086713790893555,0.3076043939590454
11,0,0.0,1,0,88,141.84650364949528,0.014273357391357423,0.1298590517044067
11,1,0.0,1,0,88,141.84650364949528,0.014273357391357423,0.1298590517044067
11,2,0.0,1,0,88,141.84650364949528,0.014273357391357423,0.1298590517044067
11,0,0.2,1,0,88,156.21699573129214,0.014273357391357423,0.1298590517044067
11,1,0.2,1,0,90,142.09478136369685,0.014273357391357423,0.1298590517044067
11,2,0.2,1,0,91,149.65884131550055,0.014273357391357423,0.1298590517044067
11,0,0.4,1,0,85,166.94112879302958,0.014273357391357423,0.1298590517044067
11,1,0.4,1,0,96,136.22281287134598,0.014273357391357423,0.1298590517044067
11,2,0.4,1,0,105,138.69179389860935,0.014273357391357423,0.1298590517044067
11,0,0.6,1,0,94,172.13329773307476,0.014273357391357423,0.1298590517044067
11,1,0.6,1,0,104,133.1026735627409,0.014273357391357423,0.1298590517044067
11,2,0.6,1,0,254,166.75930050513506,0.014273357391357423,0.1298590517044067
11,0,0.8,1,0,95,174.22495545825078,0.014273357391357423,0.1298590517044067
11,1,0.8,1,0,135,139.43086226465664,0.014273357391357423,0.1298590517044067
11,2,0.8,1,0,256,174.48886073511906,0.014273357391357423,0.1298590517044067
11,0,1.0,1,0,104,176.6321380635003,0.014273357391357423,0.1298590517044067
11,1,1.0,1,0,139,150.31725857782357,0.014273357391357423,0.1298590517044067
11,2,1.0,0,0,260,64.39748809178981,0.014273357391357423,0.1298590517044067
