scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
false_negative_10,28,8640,7755,0.8975694444444444,1.0,0.0,0.6813668600902644,0.8997105397582156,0.06666013010935412,0.8204720186309171,0.21611341661250016,0.1363700129490058
false_negative_10,29,8640,7726,0.8942129629629629,1.0,0.0,0.684053844162568,0.894398375359621,0.06616524738728234,0.819180347287645,0.2144761571146144,0.13266611481842638
false_positive_10,0,8640,8634,0.9993055555555556,0.9998841788278897,0.00011582117211028642,0.6763956451239287,1.0,0.06717201175461034,0.8235085987812095,0.2168581466261583,0.13567799205731898
false_positive_10,1,8640,8640,1.0,1.0,0.0,0.6861111111111111,1.0,0.06574408094636124,0.8166062605043111,0.21138405815493633,0.1303386952916626
false_positive_10,2,8640,8636,0.999537037037037,1.0,0.0,0.6798286243631311,1.0,0.06675465345768199,0.8224524960448769,0.21531497892875595,0.1342491309212696
false_positive_10,3,8640,8638,0.9997685185185186,1.0,0.0,0.6704098170872888,1.0,0.0680836893614639,0.8251272322151327,0.22092261015031953,0.1393438698305997
false_positive_10,4,8640,8636,0.999537037037037,1.0,0.0,0.6834182491894396,1.0,0.06681387489885499,0.8312112581614072,0.21968505486570208,0.13723275229017307
false_positive_10,5,8640,8638,0.9997685185185186,1.0,0.0,0.6824496411206298,1.0,0.06642000770086381,0.8169105601684311,0.217036095829194,0.1402921192522012
false_positive_10,6,8640,8638,0.9997685185185186,1.0,0.0,0.682565408659412,1.0,0.06708899700378416,0.8205535056456341,0.2177702847003113,0.14080089122699113
false_positive_10,7,8640,8638,0.9997685185185186,1.0,0.0,0.6770085667978699,1.0,0.06572991330416929,0.8198879832128239,0.21326874365587253,0.12995056182418363
false_positive_10,8,8640,8639,0.9998842592592593,1.0,0.0,0.682949415441602,1.0,0.06642069991501151,0.817595282463813,0.21101659439609624,0.1303532716798291
false_positive_10,9,8640,8639,0.9998842592592593,1.0,0.0,0.6876953351082301,1.0,0.0661245380852314,0.8159363306386347,0.214767007248224,0.13564801148036426
false_positive_10,10,8640,8638,0.9997685185185186,0.9998842324612178,0.00011576753878217438,0.692752952072239,1.0,0.06546155968464576,0.8177722215559847,0.21182768429486892,0.13433889704098118
false_positive_10,11,8640,8634,0.9993055555555556,0.9998841788278897,0.00011582117211028642,0.6848505906879777,1.0,0.06619381214002941,0.8205736444199782,0.2164565096652703,0.13816417838396156
false_positive_10,12,8640,8640,1.0,1.0,0.0,0.6759259259259259,1.0,0.06618670365637164,0.8211051240711564,0.21608305771968744,0.13842362704092706
false_positive_10,13,8640,8637,0.9996527777777777,1.0,0.0,0.6917911311798078,1.0,0.0655157837518903,0.8165203419233047,0.21577341385041832,0.14037985862415503
false_positive_10,14,8640,8636,0.999537037037037,0.9998842056507642,0.00011579434923580934,0.6863131079203335,1.0,0.06611036776050092,0.8170142872275759,0.21410892988657132,0.13041611111696694
false_positive_10,15,8640,8638,0.9997685185185186,0.9998842324612178,0.00011576753878217438,0.6875434128270433,1.0,0.06643449183240163,0.8238754340207478,0.2197813847629386,0.13704386593139428
false_positive_10,16,8640,8638,0.9997685185185186,0.9998842324612178,0.00011576753878217438,0.6867330400555685,1.0,0.06569464707444717,0.8190798872797352,0.21336449976899405,0.129910138894156
false_positive_10,17,8640,8638,0.9997685185185186,1.0,0.0,0.6814077332715907,1.0,0.06632258482736747,0.8160675966974161,0.21541872080470195,0.13754493177307092
false_positive_10,18,8640,8640,1.0,0.9998842592592593,0.00011574074074072183,0.6813657407407407,1.0,0.06731247876947437,0.8195192385279537,0.2187812181209384,0.1444024263422641
false_positive_10,19,8640,8640,1.0,1.0,0.0,0.6886574074074074,1.0,0.06570835811939275,0.8169527371895078,0.2137991548351536,0.13737154017836703
false_positive_10,20,8640,8637,0.9996527777777777,1.0,0.0,0.695148778511057,1.0,0.06559359814402035,0.8183114000403162,0.21426813089384752,0.13468771254609535
false_positive_10,21,8640,8638,0.9997685185185186,1.0,0.0,0.6697152118545959,1.0,0.06812034262668414,0.8248680256103456,0.21805879172435955,0.13709444924079808
false_positive_10,22,8640,8639,0.9998842592592593,1.0,0.0,0.6793610371570784,1.0,0.06719173724776359,0.8177272921887118,0.21357598100919317,0.1348768035120998
false_positive_10,23,8640,8639,0.9998842592592593,1.0,0.0,0.6845699733765482,1.0,0.06649016003870818,0.8199544035255238,0.21721459475859564,0.13779220990146052
false_positive_10,24,8640,8639,0.9998842592592593,1.0,0.0,0.6832966778562334,1.0,0.06684965284137874,0.8211111756662379,0.217192645957743,0.13651490682107087
false_positive_10,25,8640,8638,0.9997685185185186,1.0,0.0,0.6805973605001158,1.0,0.06656930646058928,0.8204684322961331,0.21527572887524576,0.13486219833603005
false_positive_10,26,8640,8638,0.9997685185185186,1.0,0.0,0.6802500578837694,1.0,0.06732082210357963,0.8192055442892527,0.21943681431117332,0.13705260212528497
false_positive_10,27,8640,8639,0.9998842592592593,1.0,0.0,0.686885056140757,1.0,0.06605728396516973,0.8214906288820897,0.21727449233917107,0.14044809396912528
false_positive_10,28,8640,8633,0.9991898148148148,0.9998841654117919,0.00011583458820807468,0.6822657245453493,1.0,0.0667269713152204,0.8204720186309171,0.21611341661250016,0.1363700129490058
false_positive_10,29,8640,8640,1.0,1.0,0.0,0.68125,1.0,0.0666637212998785,0.819180347287645,0.2144761571146144,0.13266611481842638
symmetric_10,0,8640,7816,0.9046296296296297,0.9998720573183214,0.00012794268167859446,0.6893551688843398,0.9109044801352494,0.06568035825330983,0.8235085987812095,0.2168581466261583,0.13567799205731898
symmetric_10,1,8640,7768,0.899074074074074,1.0,0.0,0.6937435633367662,0.8981666666666667,0.06464277528001122,0.8166062605043111,0.21138405815493633,0.1303386952916626
symmetric_10,2,8640,7746,0.8965277777777778,1.0,0.0,0.6808675445391169,0.8989261973751491,0.06676404687016028,0.8224524960448769,0.21531497892875595,0.1342491309212696
symmetric_10,3,8640,7738,0.8956018518518518,1.0,0.0,0.673429826828638,0.8932122043195063,0.06821660291797696,0.8251272322151327,0.22092261015031953,0.1393438698305997
symmetric_10,4,8640,7717,0.8931712962962963,1.0,0.0,0.6827782817156927,0.8935051721214177,0.06669746919097173,0.8312112581614072,0.21968505486570208,0.13723275229017307
symmetric_10,5,8640,7803,0.903125,1.0,0.0,0.6867871331539152,0.9064614343707713,0.06615253261129296,0.8169105601684311,0.217036095829194,0.1402921192522012
symmetric_10,6,8640,7728,0.8944444444444445,1.0,0.0,0.6899585921325052,0.8982479784366577,0.06655474987622324,0.8205535056456341,0.2177702847003113,0.14080089122699113
symmetric_10,7,8640,7758,0.8979166666666667,1.0,0.0,0.6791698891466873,0.8986866791744841,0.06629221836186754,0.8198879832128239,0.21326874365587253,0.12995056182418363
symmetric_10,8,8640,7743,0.8961805555555555,1.0,0.0,0.6864264496965,0.8962900505902193,0.06642546857127332,0.817595282463813,0.21101659439609624,0.1303532716798291
symmetric_10,9,8640,7812,0.9041666666666667,1.0,0.0,0.6872759856630825,0.9040242465061458,0.06633735010221314,0.8159363306386347,0.214767007248224,0.13564801148036426
symmetric_10,10,8640,7785,0.9010416666666666,1.0,0.0,0.6928709055876686,0.9017051153460381,0.06524681305025919,0.8177722215559847,0.21182768429486892,0.13433889704098118
symmetric_10,11,8640,7755,0.8975694444444444,1.0,0.0,0.6787878787878788,0.897680763983629,0.06717906757096442,0.8205736444199782,0.2164565096652703,0.13816417838396156
symmetric_10,12,8640,7767,0.8989583333333333,1.0,0.0,0.675164156044805,0.8956447480785653,0.06676102306626237,0.8211051240711564,0.21608305771968744,0.13842362704092706
symmetric_10,13,8640,7793,0.9019675925925926,0.9998716797125625,0.0001283202874374778,0.6812524060053895,0.9001356391997287,0.06635320650734527,0.8165203419233047,0.21577341385041832,0.14037985862415503
