method,target_margin,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
bgr,0.38,21,0.941914926271023,0.4346652673750332,0.35167871417759833,0.3542541953738013,0.4346652673750332
bgr,0.38,22,0.9425516970355501,0.4362482882096212,0.35092852682110093,0.3527279757258254,0.4362482882096212
bgr,0.38,23,0.9421047969449633,0.43724110726484444,0.3531177562627928,0.3559105577724988,0.43724110726484444
bgr,0.38,24,0.9467323156856373,0.43333383919486124,0.3437190414933098,0.3529911705590295,0.43333383919486124
bgr,0.38,25,0.9487980583432428,0.4347723124333095,0.3389589411600059,0.35285397660135387,0.4347723124333095
bgr,0.38,26,0.9435019405533224,0.4340814415509235,0.34331115500706355,0.3531346101108017,0.4340814415509235
bgr,0.38,27,0.9452852495559709,0.4339342157751771,0.3443016090379666,0.3523079076254623,0.4339342157751771
bgr,0.38,28,0.9458496725225464,0.4342075842838777,0.3444588218259642,0.35298970068201074,0.4342075842838777
bgr,0.38,29,0.9470668247971689,0.431602134227075,0.34049021045432293,0.3498888854501466,0.431602134227075
bgr,0.46,0,0.944990267390668,0.4283967671357776,0.33630539717370544,0.34892398038528155,0.4283967671357776
bgr,0.46,1,0.9406748435358,0.42649163820061936,0.3363533128860704,0.3449707693543515,0.42649163820061936
bgr,0.46,2,0.9448172876269969,0.42946646838471675,0.3342264303752086,0.34904006900667034,0.42946646838471675
bgr,0.46,3,0.9375081691052464,0.4306943349488817,0.3415508861820801,0.351719427635776,0.4306943349488817
bgr,0.46,4,0.9466983781159122,0.42671279801648515,0.339359104544278,0.34763750863395954,0.42671279801648515
bgr,0.46,5,0.9384795790870669,0.4254874792541601,0.33227602033749754,0.34526946714198353,0.4254874792541601
bgr,0.46,6,0.9408124538412327,0.42998378638532714,0.3371656817945964,0.34940350288146294,0.42998378638532714
bgr,0.46,7,0.9419236552140284,0.4256226764069202,0.3321156646899542,0.34487597580819007,0.4256226764069202
bgr,0.46,8,0.9414574319162498,0.4251878325194127,0.33434104252799807,0.34514037151490307,0.4251878325194127
bgr,0.46,9,0.9415512158004964,0.4278582657500654,0.3351964445523096,0.3470655833495595,0.4278582657500654
bgr,0.46,10,0.9350173542889502,0.4212756693382022,0.34089067012369045,0.34252127590504494,0.4212756693382022
