stress_case,method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
low_teacher,bgr_broad,9,0.6885891170736719,0.3799483844684714,0.45871034904054037,0.22663739400488167,0.2817070922534092,0.3799483844684714
low_teacher,bgr_broad,10,0.6932781216120179,0.3846024990808849,0.46581886746396717,0.22456686577497742,0.28269027147485004,0.3846024990808849
low_teacher,bgr_broad,11,0.6822915892641801,0.37573835431139113,0.45957886533063724,0.22245348904831275,0.2771280329569811,0.37573835431139113
low_teacher,bgr_broad,12,0.6887362189263034,0.3802641571798487,0.4599190645372938,0.22613980501825678,0.2823799343491579,0.3802641571798487
low_teacher,bgr_broad,13,0.6895428133480894,0.3805496796274881,0.464494638410194,0.22458772374301503,0.28022651617372357,0.3805496796274881
low_teacher,bgr_broad,14,0.6851413554220542,0.3777323295501815,0.4556627225944373,0.22479893636471035,0.27971444202007467,0.3777323295501815
high_clutter,uniform,0,0.839016771382825,0.48491609335400326,0.5084584624451696,0.30579172141098127,0.37151991220909225,0.48491609335400326
high_clutter,uniform,1,0.835206978085813,0.4864466794001065,0.5032199295598638,0.3085625270747035,0.3708005578017371,0.4864466794001065
high_clutter,uniform,2,0.8432611791440648,0.48650294695570806,0.4958718862388005,0.3080845075498345,0.37371855367143625,0.48650294695570806
high_clutter,uniform,3,0.8270371757570683,0.4797946946494868,0.5035360702826025,0.30450146723773297,0.3656653238005868,0.4797946946494868
high_clutter,uniform,4,0.8393350577970329,0.4889917995040514,0.5050386144262258,0.3129768350937161,0.37567666414154344,0.4889917995040514
high_clutter,uniform,5,0.8353806506351181,0.4874951515150456,0.5093495857373354,0.31157240861005125,0.37400158953972695,0.4874951515150456
high_clutter,uniform,6,0.8342098988671041,0.47965892528808424,0.4957804163823858,0.3083383846998024,0.36841971605302287,0.47965892528808424
high_clutter,uniform,7,0.8386818147148918,0.479481724739686,0.5024829007450498,0.3057634839250226,0.368810033787355,0.479481724739686
high_clutter,uniform,8,0.8377747960061387,0.48794895846360237,0.5101902417623838,0.30443742907555077,0.3698560711836733,0.48794895846360237
high_clutter,uniform,9,0.8368635248605022,0.48233754823371544,0.5046504827697401,0.306698339794924,0.37062959865007905,0.48233754823371544
high_clutter,uniform,10,0.8365625824614416,0.4847095696520445,0.5069714495674933,0.3061614673340235,0.37134226243768237,0.4847095696520445
high_clutter,uniform,11,0.8286904920129525,0.479429610264679,0.5029349165785415,0.30137575366411745,0.36498550046018685,0.479429610264679
high_clutter,uniform,12,0.8366818929762162,0.4901061357959216,0.5047486255625568,0.31057075180667304,0.3737013971001242,0.4901061357959216
high_clutter,uniform,13,0.8344786235791061,0.4864834137646848,0.510758251636013,0.3090628755737626,0.3708989402810495,0.4864834137646848
high_clutter,uniform,14,0.8338014703668307,0.48168099688664895,0.5047526626633009,0.3069919743659434,0.3693188543092972,0.48168099688664895
high_clutter,bgr_broad,0,0.8651752985699189,0.494236826490737,0.49789715543825563,0.31506117191188493,0.38149737303498726,0.494236826490737
high_clutter,bgr_broad,1,0.8645037427494058,0.49869150892227443,0.4930233461321313,0.31415141883812153,0.3846147831189973,0.49869150892227443
high_clutter,bgr_broad,2,0.8680554466469697,0.4977796516924416,0.48403030534244385,0.3146727229218307,0.38449798072699093,0.4977796516924416
high_clutter,bgr_broad,3,0.8571002346535715,0.4916840968864494,0.5004895130439445,0.3107508395860558,0.3767088408328509,0.4916840968864494
high_clutter,bgr_broad,4,0.8693421518509452,0.5033561874664559,0.5029698877349594,0.3193567281670433,0.3890591598371757,0.5033561874664559
high_clutter,bgr_broad,5,0.865063692851982,0.4997515474216819,0.5004068221649582,0.3180698091036736,0.38366592081551054,0.4997515474216819
high_clutter,bgr_broad,6,0.8617060045177719,0.49452258900594864,0.4949114842764335,0.31645655688782454,0.380579968694852,0.49452258900594864
high_clutter,bgr_broad,7,0.8669475804289413,0.49351450251122186,0.5019730518987351,0.31428470415226273,0.3823861790558876,0.49351450251122186
high_clutter,bgr_broad,8,0.8660510095400231,0.4990854111325374,0.5029968197098618,0.3094849607909558,0.37934954803229726,0.4990854111325374
