learning_rate,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
0.015,bgr,9,0.9432128930655925,0.37883302433567356,0.3025118440381612,0.31031984239949345,0.37883302433567356
0.015,bgr,10,0.9431661497780978,0.3783171729991804,0.29716723161975533,0.30902911983295267,0.3783171729991804
0.015,bgr,11,0.9432435419298282,0.38238564887421705,0.2995495349978686,0.3121443262461897,0.38238564887421705
0.015,bgr,12,0.9425327831773397,0.38162612960593395,0.3006302812265004,0.31320197517203563,0.38162612960593395
0.015,bgr,13,0.9474885543009017,0.38000320594161735,0.2980154968658351,0.31072956053508977,0.38000320594161735
0.015,bgr,14,0.951415125238725,0.37979461940086545,0.29426614409921115,0.3104894951281629,0.37979461940086545
0.015,bgr,15,0.946877346301898,0.38328918287826874,0.30331031718539747,0.3145315595947824,0.38328918287826874
0.015,bgr,16,0.9465159890141537,0.3784942006858259,0.2931209388705506,0.3091764386188538,0.3784942006858259
0.015,bgr,17,0.9416520012304349,0.38203385426218817,0.3027071715565804,0.31204507208162585,0.38203385426218817
0.015,bgr,18,0.9433149431567851,0.38366000928704125,0.300319084138542,0.31415191265024417,0.38366000928704125
0.015,bgr,19,0.9467875502840021,0.38044495746501605,0.29512326941046707,0.31065138410214377,0.38044495746501605
0.015,bgr,20,0.9439400291323176,0.3801820369749096,0.3011519705237584,0.31068021473260066,0.3801820369749096
0.015,bgr,21,0.9417316580946795,0.38352191795850554,0.3050005022274858,0.314626791177229,0.38352191795850554
0.015,bgr,22,0.9421226374710443,0.38192756491514673,0.3026209369073857,0.3122552577003476,0.38192756491514673
0.015,bgr,23,0.9417351996936052,0.38483421636424897,0.3038141713060701,0.3149898056190897,0.38483421636424897
0.015,bgr,24,0.9465961638189215,0.382841509395296,0.3014412171456109,0.3138513039329852,0.382841509395296
0.015,bgr,25,0.9486763120014564,0.38174000023511356,0.29077235002369095,0.3118013729144418,0.38174000023511356
0.015,bgr,26,0.9433946726407428,0.3818587207405968,0.2995850234422158,0.31359833620344413,0.3818587207405968
0.015,bgr,27,0.9475805726662584,0.3805683711577757,0.29598231401428277,0.3119543833140162,0.3805683711577757
0.015,bgr,28,0.945298586752759,0.38251421275242514,0.3028395749644035,0.31296555906008233,0.38251421275242514
